qe_char,pe_char
0,0.05153996541256351
1,0.06059361301135866
2,0.08904487100100392
3,0.11701338210090172
4,0.14870833356893196
5,0.17475886640515148
6,0.2001643621011792
7,0.22302218996068146
8,0.24701558191888778
9,0.2697141238532246
10,0.2925051905033448
11,0.314253189427853
12,0.33612659059006494
13,0.35821030869314696
14,0.3807946862668848
15,0.403526346636018
16,0.42309331877879447
17,0.442557718721718
18,0.4619007977744865
19,0.4813174969679343
20,0.5018805163114385
21,0.5198850125676453
22,0.5372747275066343
23,0.5561608090047111
24,0.5736134872324465
25,0.5899190658861146
26,0.6053434702669367
27,0.6201846812600067
28,0.6357834498777715
29,0.6495187290559026
30,0.6626452497387194
31,0.6753065818290557
32,0.687477826272595
33,0.6990445211104797
34,0.7101753903840816
35,0.7208391154195025
36,0.7310192007703997
37,0.740726671743693
38,0.7500122759281739
39,0.7589044977286097
40,0.7674423083455523
41,0.7756678108469436
42,0.7834623485556118
43,0.791202581667729
44,0.7983125583531728
45,0.805127799391678
46,0.8116622352160235
47,0.817894878063294
48,0.8239638985536285
49,0.8297037611984276
50,0.8352720513613782
51,0.8406195944730561
52,0.8456821376522606
53,0.8506310691533467
54,0.8552920389107173
55,0.8597848656518878
56,0.8641043910070397
57,0.8682704406887449
58,0.8722741576059688
59,0.8761653540386897
60,0.8799375395105974
61,0.8835552856575538
62,0.8870086300235631
63,0.8903314421247416
64,0.89356093591478
65,0.896653832104047
66,0.8996267253383051
67,0.9025006742371979
68,0.9052597785509002
69,0.9079151769570972
70,0.9104791843551632
71,0.9129509788070501
72,0.9153470274164096
73,0.9176651194533194
74,0.9198891279264236
75,0.9220470837574286
76,0.9241292795745604
77,0.9261407462055266
78,0.9280895896600421
79,0.9300101754513209
80,0.9318368052209052
81,0.933594959048283
82,0.9353041650477676
83,0.9369576634874811
84,0.9385632769502256
85,0.9401165414621192
86,0.941633994983542
87,0.9431157508852591
88,0.9445263382890954
89,0.9458894375136409
90,0.9472176327138372
91,0.948491750059013
92,0.9497526597100381
93,0.9509588396241425
94,0.9521312067075133
95,0.9532689106794113
96,0.9543761746008417
97,0.9554514396237825
98,0.9564932886136681
99,0.9575037480729273
100,0.9584809190412421
101,0.9594259777403021
102,0.9603511965554447
103,0.9612539821304149
104,0.9621272629637309
105,0.9629724845326494
106,0.9638098693474204
107,0.9646093741552549
108,0.9653872960036565
109,0.9661470785296191
110,0.9668787451058017
111,0.9675985360943252
112,0.9682936689414086
113,0.9689713285192989
114,0.9696334279596597
115,0.9702735476429091
116,0.9708942525826109
117,0.9714982636771307
118,0.9720937577929115
119,0.9726753639899504
120,0.9732353163708278
121,0.9737808848358651
122,0.9743143793144042
123,0.9748289125324564
124,0.9753358215665462
125,0.9758316060942965
126,0.9763117029424064
127,0.9767791872928832
128,0.9772358163925878
129,0.977678699287007
130,0.9781147374214746
131,0.9785334298288602
132,0.9789429250329155
133,0.9793514565854662
134,0.9797392271166319
135,0.9801221793902747
136,0.9804977909068682
137,0.9808558724688861
138,0.9812136989466821
139,0.9815582752162905
140,0.981893597597186
141,0.9822242859480522
142,0.9825435521943202
143,0.9828601683989507
144,0.9831642146199849
145,0.983465639142073
146,0.9837569453233631
147,0.9840462108308788
148,0.9843270585590754
149,0.9845985248564482
150,0.9848686590473293
151,0.985129440150078
152,0.9853832489507642
153,0.9856316584687558
154,0.9858752072151876
155,0.9861138101619857
156,0.9863475098231871
157,0.9865731459887106
158,0.9867988246682711
159,0.9870192316072478
160,0.9872330772131862
161,0.9874417786206516
162,0.987643493554709
163,0.987843706326127
164,0.9880403762611311
165,0.9882317744555514
166,0.9884223932259607
167,0.9886066774048621
168,0.9887867385227582
169,0.9889642346270907
170,0.9891356653954828
171,0.9893046445210765
172,0.9894702083523672
173,0.9896341991642902
174,0.9897927198367903
175,0.9899456711704478
176,0.9900965960016767
177,0.99024815854346
178,0.9903916292468742
179,0.9905334985882293
180,0.9906750986740169
181,0.990812574898219
182,0.9909494134118664
183,0.9910807251007083
184,0.9912097126888627
185,0.9913359652073057
186,0.9914597944256417
187,0.9915822206807577
188,0.9917020252369275
189,0.9918181877572639
190,0.9919344919910569
191,0.9920476360147688
192,0.992158994448928
193,0.992270282026359
194,0.9923767230035759
195,0.9924831498094471
196,0.9925844324168455
197,0.9926858567377004
198,0.9927865441485813
199,0.9928845673464789
200,0.9929794728483323
201,0.9930748743472838
202,0.9931680084309303
203,0.9932607740595899
204,0.993349486683392
205,0.993437547425294
206,0.9935254664537394
207,0.9936089498509947
208,0.9936921073073
209,0.9937739893424962
210,0.9938529379091418
211,0.993933261096316
212,0.9940093612224848
213,0.9940854755199995
214,0.9941612497052182
215,0.9942356917839456
216,0.9943123304212493
217,0.9943827194951191
218,0.9944541289058761
219,0.9945248722633874
220,0.994590953248178
221,0.9946548943597747
222,0.9947200967211347
223,0.9947847464000141
224,0.9948484040846977
225,0.9949093975563981
226,0.9949689738935329
227,0.9950276857785827
228,0.9950884666800983
229,0.9951462715990262
230,0.9952039064618062
231,0.9952600249906012
232,0.9953145279859914
233,0.9953702213744168
234,0.9954245826563505
235,0.995476648180288
236,0.995528075993671
237,0.9955792062087953
238,0.9956319094432873
239,0.9956820476642158
240,0.9957312222336396
241,0.9957799008059656
242,0.9958288061198219
243,0.995878136574048
244,0.9959261632644738
245,0.99597236185131
246,0.9960157686830522
247,0.996059104658066
248,0.9961020438354016
249,0.9961460458636613
250,0.9961889283556141
251,0.9962316407914192
252,0.9962733895757196
253,0.9963148407617615
254,0.9963537977909678
255,0.9963937609857157
256,0.9964336958377723
257,0.9964714199599067
258,0.9965082938013018
259,0.9965462588363123
260,0.9965823957677333
261,0.9966190003535609
262,0.9966551089422906
263,0.9966915293006247
264,0.996725724757691
265,0.9967614223773966
266,0.9967948950958344
267,0.9968288638113701
268,0.9968615287631055
269,0.9968934284621755
270,0.996925356503937
271,0.9969559949532437
272,0.9969878096242398
273,0.997019539267162
274,0.9970488881240142
275,0.997079314003136
276,0.9971092155424687
277,0.9971376432618532
278,0.9971661701806573
279,0.9971942861304374
280,0.9972235641305612
281,0.9972507022574911
282,0.9972777978703841
283,0.9973036889188962
284,0.9973309829306284
285,0.9973573274622015
286,0.9973826941709245
287,0.9974080325369561
288,0.9974318970830397
289,0.9974566685952451
290,0.9974794419477131
291,0.9975023428422921
292,0.9975251870514884
293,0.9975498877069656
294,0.9975722926044466
295,0.9975949384148037
296,0.9976174283403587
297,0.9976387703869156
298,0.9976613169978531
299,0.9976820071625099
300,0.9977029949254254
301,0.9977235150339342
302,0.9977447720524172
303,0.9977661566130109
304,0.9977864783226806
305,0.9978066158048569
306,0.9978263564893547
307,0.9978459838030872
308,0.9978652851758697
309,0.9978844448351957
310,0.9979032076968433
311,0.9979216304461952
312,0.9979405917066819
313,0.997958390916825
314,0.9979760767562028
315,0.9979926714019651
316,0.9980100454717385
317,0.9980273770274749
318,0.9980449778387788
319,0.9980609914593693
320,0.9980774585630208
321,0.9980935146976482
322,0.9981099392872627
323,0.9981253151972986
324,0.9981417256155675
325,0.9981569598121469
326,0.9981732001742679
327,0.998188037573169
328,0.9982030166855266
329,0.9982175281434776
330,0.9982337543342529
331,0.9982489460167954
332,0.9982625363372788
333,0.9982773737361799
334,0.9982922394777723
335,0.9983058156269101
336,0.9983198877731457
337,0.9983337190065054
338,0.9983483438352216
339,0.9983616507287919
340,0.9983755953329168
341,0.998388448743426
342,0.9984013446679724
343,0.9984143539632839
344,0.9984271223457194
345,0.9984401599837223
346,0.9984533109924904
347,0.9984654416643712
348,0.9984775865075979
349,0.9984904682607985
350,0.9985026131040251
351,0.998514375320919
352,0.9985258399395541
353,0.9985370211312762
354,0.9985484715785656
355,0.998559553570868
356,0.9985708906473922
357,0.9985819868110404
358,0.9985934230869842
359,0.9986037256552756
360,0.9986144250212453
361,0.9986248551316477
362,0.9986352994133956
363,0.998646466433772
364,0.9986567264880264
365,0.9986665330592198
366,0.9986775300234483
367,0.9986874216227157
368,0.9986980926459942
369,0.998707885045842
370,0.9987168980216787
371,0.9987263361378852
372,0.9987358592821655
373,0.9987458075668155
374,0.9987553307110959
375,0.9987638193471434
376,0.9987730732358563
377,0.9987822420964952
378,0.9987907307325428
379,0.9987993894247382
380,0.9988084590859576
381,0.9988172594916095
382,0.9988255355574722
383,0.9988343076204328
384,0.9988420735178519
385,0.9988499811287276
386,0.9988582571945902
387,0.9988660514347006
388,0.9988743275005634
389,0.9988823768248956
390,0.9988903552924995
391,0.9988981353612643
392,0.9989061988569421
393,0.9989133128724611
394,0.998921291340065
395,0.9989291989509407
396,0.9989362421097313
397,0.9989437529229286
398,0.998950810253065
399,0.9989579526112752
400,0.9989653925677442
401,0.9989719964148196
402,0.9989791529443756
403,0.9989862102745118
404,0.9989927857788959
405,0.998999729738267
406,0.9990066311836011
407,0.9990124130926284
408,0.999019626307567
409,0.9990261592979142
410,0.9990327206309525
411,0.9990394378487931
412,0.9990458291256836
413,0.9990521920598829
414,0.9990583282525516
415,0.9990647620434792
416,0.9990714934326654
417,0.9990779980803212
418,0.9990840350735704
419,0.9990904688644978
420,0.9990969876834993
421,0.9991033506176985
422,0.9991094017822933
423,0.9991153679188142
424,0.999121008114385
425,0.9991266057959188
426,0.9991325010757114
427,0.9991381696139735
428,0.9991442632926053
429,0.9991498751454848
